ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
6373,3,-39.007739,177.096639,F,gr,138,138,133,133,278,284,255,291,269,269,89,89,166,186,228,228,223,233
6383,3,-39.002434,177.082794,F,gr,126,136,133,133,258,264,255,255,269,271,89,89,178,180,228,248,223,223
6384,3,-39.003197,177.087705,M,br,138,140,133,133,258,276,255,299,265,269,89,91,166,166,248,248,233,233
6385,3,-39.003345,177.079496,F,gr,126,136,133,133,276,278,255,255,NA,NA,89,91,176,180,228,248,NA,NA
6386,3,-39.008141,177.07446,M,br,126,140,133,149,NA,NA,255,255,NA,NA,89,91,180,182,228,228,NA,NA
6387,3,-39.029231,177.082905,F,gr,138,144,133,133,258,264,255,255,255,257,87,87,166,186,228,248,223,227
6388,3,-39.029231,177.082905,M,bl,138,144,133,133,258,264,255,255,NA,NA,83,89,180,186,228,228,NA,NA
6389,3,-39.025095,177.088374,M,gr,138,138,133,133,NA,NA,255,299,NA,NA,83,89,178,186,228,248,233,233
6391,3,-39.019862,177.094773,F,bl,126,138,133,145,278,278,255,255,257,257,87,87,166,186,228,248,229,229
6393,3,-39.024741,177.088712,M,br,138,140,133,149,276,278,255,255,255,259,85,85,166,166,228,248,233,233
6394,3,-39.029312,177.08291,M,bl,136,144,133,149,264,264,255,255,241,257,NA,NA,166,166,NA,NA,227,231
6395,3,-39.029312,177.08291,F,bl,136,138,133,153,258,258,255,259,269,269,87,89,166,178,NA,NA,223,233
6396,3,-39.029312,177.08291,F,gr,138,144,133,133,258,278,255,255,239,255,87,89,166,166,NA,NA,227,231
6398,3,-39.007085,177.074988,F,gr,138,144,133,133,NA,NA,255,255,241,255,83,89,164,186,NA,NA,223,233
7778,3,-39.004263,177.077019,M,bl,140,140,133,133,264,276,255,299,255,269,89,91,166,186,228,228,NA,NA
7779,3,-39.005376,177.076148,M,bl,126,138,133,133,270,276,255,255,219,265,91,95,138,166,248,248,223,233
7787,3,-39.00266,177.093902,F,bl,138,140,NA,NA,NA,NA,255,255,257,265,85,91,166,186,228,228,223,235
7791,3,-39.01412,177.10129,F,br,136,144,133,145,264,278,255,259,269,269,89,89,166,180,228,228,223,233
7794,3,-39.008541,177.098431,M,br,136,136,NA,NA,NA,NA,259,259,255,261,85,85,164,164,228,228,NA,NA
7795,3,-39.011833,177.100925,F,bl,138,138,133,133,258,264,255,255,219,269,NA,NA,138,186,NA,NA,NA,NA
7796,3,-39.004914,177.093931,F,bl,136,140,133,149,258,264,255,259,257,261,85,89,166,182,228,228,223,235
7797,3,-39.020268,177.093513,F,bl,138,144,133,133,276,278,255,255,255,269,89,89,NA,NA,228,248,NA,NA
7798,3,-39.006308,177.07656,M,bl,138,144,133,133,258,264,255,255,255,269,89,89,178,186,228,248,223,223
7799,3,-39.005264,177.077008,M,bl,126,130,133,149,278,278,255,255,219,257,75,89,166,180,248,250,223,235
7800,3,-39.002851,177.088574,M,br,136,136,133,133,276,278,255,255,219,261,87,87,166,166,228,248,227,233
5454,4,-38.93625,177.048574,F,bl,130,142,149,155,258,264,255,287,249,269,85,91,166,166,NA,NA,223,223
5455,4,-38.933616,177.046805,M,br,140,144,149,155,258,290,NA,NA,255,269,NA,NA,180,182,NA,NA,223,235
5456,4,-38.933527,177.044964,F,gr,NA,NA,149,149,258,264,NA,NA,NA,NA,87,87,186,186,228,228,223,235
5457,4,-38.926689,177.07635,F,gr,138,144,133,133,258,258,255,259,255,265,87,87,166,166,228,248,223,235
5458,4,-38.933067,177.039857,F,bl,138,144,133,133,258,276,255,259,257,269,NA,NA,NA,NA,228,248,223,233
5459,4,-38.932431,177.04385,F,bl,138,142,133,133,258,258,255,255,265,271,85,89,178,182,248,250,233,235
5460,4,-38.933558,177.046905,M,bl,130,142,133,133,264,276,255,255,265,265,85,91,NA,NA,228,250,233,235
5461,4,-38.930082,177.073743,M,bl,126,138,133,149,258,270,255,287,257,265,89,89,166,186,228,228,223,233
5462,4,-38.934462,177.047604,M,bl,140,142,133,149,258,258,255,287,257,269,87,87,166,180,228,228,223,227
5468,4,-38.932463,177.043955,M,bl,138,138,133,153,258,264,255,255,219,255,NA,NA,180,186,NA,NA,223,227
5493,4,-38.930157,177.075698,M,br,142,144,133,133,258,270,255,259,257,265,89,91,166,176,228,248,227,233
5494,4,-38.932632,177.038908,M,gr,138,142,133,149,258,258,255,259,269,269,85,89,178,180,228,248,223,233
5495,4,-38.925436,177.076843,M,br,140,140,133,149,258,276,259,291,257,257,89,89,166,186,228,228,235,235
5496,4,-38.927545,177.076123,F,gr,140,140,133,149,258,258,255,255,269,269,87,89,166,166,228,238,223,233
5497,4,-38.933067,177.039857,F,gr,126,136,133,153,258,270,259,287,257,265,87,91,178,186,248,248,223,233
5498,4,-38.933329,177.040865,M,bl,140,140,133,149,258,276,255,259,257,269,87,89,166,166,228,248,NA,NA
5499,4,-38.926689,177.07635,M,bl,138,142,133,133,276,278,255,259,219,255,87,91,166,166,228,250,231,233
5500,4,-38.932433,177.040963,M,bl,138,144,149,149,258,264,255,299,255,265,87,89,166,186,248,250,231,235
5802,4,-38.925849,177.076128,F,bl,134,138,133,133,258,258,291,299,265,265,79,85,182,186,248,250,227,227
5803,4,-38.932632,177.038908,F,bl,138,142,133,133,258,264,255,255,259,269,NA,NA,178,180,228,250,223,235
5804,4,-38.934584,177.044147,M,bl,138,138,133,149,258,278,259,299,241,265,NA,NA,166,176,228,248,223,227
5805,4,-38.936306,177.048242,M,bl,140,144,149,149,NA,NA,255,259,257,265,NA,NA,178,186,NA,NA,223,223
5806,4,-38.925916,177.076028,M,bl,138,142,133,149,258,264,255,255,257,257,87,89,166,166,248,248,233,233
5807,4,-38.92721,177.0754,M,bl,136,136,133,149,NA,NA,255,255,269,269,NA,NA,178,180,NA,NA,223,235
5808,4,-38.92615,177.075015,F,bl,130,144,133,133,NA,NA,255,255,219,271,NA,NA,NA,NA,NA,NA,233,233
5809,4,-38.9362,177.048686,F,bl,138,140,133,149,270,276,255,255,253,261,NA,NA,166,178,NA,NA,223,233
5810,4,-38.93358,177.045763,F,bl,138,140,133,133,258,264,255,291,255,255,NA,NA,NA,NA,NA,NA,223,223
5811,4,-38.933052,177.043862,M,bl,138,142,149,149,258,264,255,259,257,269,89,91,NA,NA,NA,NA,227,231
5812,4,-38.928226,177.074454,M,br,136,138,133,133,270,276,255,299,257,269,87,89,166,178,228,248,227,233
5813,4,-38.932433,177.040963,F,bl,138,144,133,149,270,276,259,287,257,259,85,91,166,186,NA,NA,223,223
5815,4,-38.933489,177.042976,F,bl,126,144,133,149,258,276,255,259,259,265,NA,NA,166,186,228,228,223,227
5816,4,-38.933029,177.043769,F,bl,136,144,133,133,276,278,255,259,255,257,NA,NA,166,166,NA,NA,233,233
5817,4,-38.930138,177.076471,F,bl,138,138,133,145,258,270,259,259,257,261,NA,NA,178,182,NA,NA,223,223
5818,4,-38.934075,177.042213,M,gr,140,140,133,133,258,258,255,255,255,265,89,89,NA,NA,228,248,223,231
5819,4,-38.933569,177.045059,F,bl,140,142,133,149,258,276,255,255,255,269,NA,NA,166,182,NA,NA,229,235
5820,4,-38.934424,177.04766,F,bl,130,140,149,149,258,264,255,259,249,257,NA,NA,NA,NA,NA,NA,223,235
5821,4,-38.933576,177.046895,F,bl,138,138,133,133,258,278,255,255,259,269,NA,NA,166,186,228,250,223,233
5822,4,-38.933558,177.045878,M,bl,138,140,133,133,258,270,259,259,239,257,NA,NA,166,182,NA,NA,223,233
